"","Community.Name","State","Region","Latitude","Longitude","cumi_mean","ComEng","ComRel","PC1_scores_pd","PC1_scores_pc","PC1_scores_pov","PC1_scores_lf","PC1_scores_hc","Hazard","Vulnerability","Exposure","Risk","RiskCategoryM1","RiskCategoryM2"
"283","Bostonia, CA","CA","West Coast",32.819048,-116.9422035,311.0356985,-0.182,-0.12,0.913829393377749,0.641716848939709,0.823451676204452,-0.126955123565922,0.483939455131363,4,3,1,12,"High","High"
"284","Bothell East, WA","WA","West Coast",47.8063906,-122.1843575,132.053525,-0.182,-0.12,-0.980920127054014,0.672291776530916,-0.655126171381086,-1.33309543477767,-0.821306726338126,2,1,1,2,"Low","Low"
"285","Bothell West, WA","WA","West Coast",47.8053825,-122.2404065,132.053525,-0.182,-0.12,-0.932057936059863,0.265852844026552,-0.55510768358796,-1.27457677998966,-0.438932837270728,2,1,1,2,"Low","Low"
"286","Bothell, WA","WA","West Coast",47.7740096,-122.2038831,132.053525,-0.171,-0.119,-0.598431824650594,0.135985497667423,-0.676773840098402,-0.902759303871884,-0.276322137648467,2,1,1,2,"Low","Low"
"287","Boulder Creek, CA","CA","West Coast",37.1341004,-122.1272075,284.366890208333,-0.182,-0.12,-0.0665024455705878,-0.577838443113741,0.33367303626641,-0.853952932835932,-0.393880102721523,4,1,1,4,"Medium","Moderate"
"288","Boulevard Gardens, FL","FL","Southeast",26.1251693,-80.1822054,100.719280217391,-0.182,-0.12,4.17748652546869,0.0478238231835636,-0.345763559998875,0.95529225348258,-0.278732063532058,1,3,1,3,"Low","Moderate"
"289","Boulevard Park, WA","WA","West Coast",47.5134027,-122.3148441,146.7251,-0.182,-0.12,0.586992709700802,1.68928642495279,-0.00902839226512847,-1.28266798479732,0.322867106082803,2,2,1,4,"Medium","Moderate"
"290","Bourg, LA","LA","Southeast",29.5635934,-90.6150353,118.786517,0.189,0.003,0.662376196149372,-0.809864759738925,0.927063246186898,-0.167430377035469,1.0387367069222,1,2,2,4,"Medium","Moderate"
"291","Boutte, LA","LA","Southeast",29.8869428,-90.3890061,103.017008888889,-0.182,-0.12,1.5426132380099,0.24376433551801,1.81357547266157,-0.599821340934806,0.935998292990043,1,3,1,3,"Low","Moderate"
"292","Bowdoinham, ME","ME","Northeast",44.0442235,-69.8637806,336.009925555556,-0.182,-0.119,-0.127059143139088,-1.26677117413458,-0.861026471024321,-0.278037383477888,0.317720061892186,4,1,1,4,"Medium","Moderate"
"293","Bowers, DE","DE","Northeast",39.0620553,-75.402712,292.197493846154,0.09,0.874,0.593732860425703,-0.758121127821238,0.0420868196204619,-0.19183880706776,0.668456836340311,4,2,2,16,"High","High"
"294","Boxford, MA","MA","Northeast",42.6831083,-71.0183302,309.64843875,-0.182,-0.12,-1.11706689027764,-0.987728642094162,-1.05857535323345,-0.763170262717173,-1.3749371311401,4,1,1,4,"Medium","Moderate"
"295","Boyes Hot Springs, CA","CA","West Coast",38.3126459,-122.4887478,255.642854285714,-0.182,-0.12,0.252172582860821,0.910094108972616,-0.748222996017656,-1.29159397216743,0.0520571824443702,3,1,1,3,"Low","Moderate"
"296","Boynton Beach, FL","FL","Southeast",26.5283266,-80.0807345,96.8189350595238,0.097,-0.116,0.678329945807671,0.656733671549227,0.252698019921968,0.0427147109510844,0.258096522139182,1,2,1,2,"Low","Low"
"297","Bozrah, CT","CT","Northeast",41.5450583,-72.175228,231.48970375,-0.182,-0.12,-0.795708104167011,-0.858239424845655,-1.07785369980783,-0.835962080092183,-0.212550802597359,2,1,1,2,"Low","Low"
"298","Bradbury, CA","CA","West Coast",34.1531592,-117.9688184,265.980309090909,-0.182,-0.12,-0.828127657520923,0.8703906981887,-0.632563055327791,0.147798798047432,-1.71372720469676,3,1,1,3,"Low","Moderate"
"299","Bradenton Beach, FL","FL","Southeast",27.461791,-82.6964901,128.68348483871,-0.182,-0.12,-0.564473105981105,-1.10975761365766,-0.210581373305789,2.09158591976982,0.805048955562389,2,2,1,4,"Medium","Moderate"
"300","Bradenton, FL","FL","Southeast",27.4909209,-82.5748617,125.2486178,0.489,-0.108,0.18945637042166,0.0667290359478178,0.395661246725476,0.783029685416318,0.828109883219296,1,2,2,4,"Medium","Moderate"
"301","Bradley Beach, NJ","NJ","Northeast",40.2016041,-74.0120565,248.073655416667,-0.182,-0.12,-0.089052571829558,-0.168504111546996,-0.659925830014239,-0.686150260565179,0.0246062440229499,3,1,1,3,"Low","Moderate"
"302","Braintree Town, MA","MA","Northeast",42.2061879,-71.0023199,288.417183809524,-0.178,-0.119,-0.498582113452395,-0.127608968649229,-0.467952016089128,-0.671088795635102,-0.484082689869489,4,1,1,4,"Medium","Moderate"
"303","Brandon, FL","FL","Southeast",27.9359851,-82.2992552,131.3833815625,-0.077,-0.119,-0.091571104216484,0.329296294055962,-0.129016329614634,-0.806004405332585,0.252158852602808,2,1,1,2,"Low","Low"
"304","Branford, CT","CT","Northeast",41.2799516,-72.7859518,262.365179,-0.017,-0.115,-0.47718124551292,-0.705906558541692,-0.630662428009524,-0.69929607706851,-0.0796021711766454,3,1,1,3,"Low","Moderate"
"305","Brazoria, TX","TX","Southeast",29.0447078,-95.5643705,123.703904057971,-0.182,-0.12,0.271630957429732,0.2227332459072,0.388254119437112,0.0425442371941074,1.00846018976199,1,2,1,2,"Low","Low"
"306","Brea, CA","CA","West Coast",33.931728,-117.8549423,266.65245375,-0.182,-0.12,-0.561507957189638,0.555462042945804,-0.663080113613804,-0.905569789380626,-0.594842923806446,3,1,1,3,"Low","Moderate"
"307","Breaux Bridge, LA","LA","Southeast",30.2830986,-91.9059194,126.14014,0.617,-0.028,0.871512644956518,0.320599235776102,1.09922443532257,0.240024515692999,0.846065059692555,1,3,2,6,"Medium-high","Moderate"
"308","Bremen, ME","ME","Northeast",43.9800698,-69.4303812,343.5991224,0.32,0.466,-0.703702566398059,-0.974412666360252,-0.703388570988443,-0.0483744300321427,0.581983220075894,4,1,2,8,"High","High"
"309","Bremerton, WA","WA","West Coast",47.5398013,-122.7169712,127.594293333333,-0.012,-0.115,0.0363686473598146,-0.229035418774987,0.652876817475071,-0.201376298577324,0.569549122388724,2,2,1,4,"Medium","Moderate"
"310","Brent, FL","FL","Southeast",30.4718909,-87.250693,133.797643333333,-0.182,-0.12,0.680505898880836,0.0338004966573381,0.645166161343066,-0.0369905247220879,0.852047156614638,2,2,1,4,"Medium","Moderate"
"311","Brentwood, CA","CA","West Coast",37.9359047,-121.7185472,234.9129,-0.182,-0.12,-0.523948991562108,0.217368937763111,-0.539526684725275,-0.20911501276796,-1.30495983089116,2,1,1,2,"Low","Low"
"312","Brentwood, NY","NY","Northeast",40.783958,-73.2521929,265.737677833333,-0.182,-0.12,0.666956519802918,2.49164741004417,0.226189351675099,-0.862934631004083,-0.466683204168052,3,2,1,6,"Medium-high","Moderate"
"313","Brevig Mission, AK","AK","Alaska",65.343191,-166.5089548,193.36268952381,-0.182,-0.12,4.49191631533549,1.74029671097946,4.05787173550081,0.188000357904138,1.10623992241332,2,4,1,8,"High","High"
"314","Brewster, MA","MA","Northeast",41.7609258,-70.0703698,293.071662608696,-0.149,-0.106,-0.792811245593317,-1.17135855934593,-1.11767822592147,0.960384452335275,-0.00526522467522962,4,1,1,4,"Medium","Moderate"
"315","Briarcliff Manor, NY","NY","Northeast",41.1403331,-73.8475045,290.5370715,-0.182,-0.12,-1.20562692314637,-0.642648069071254,-0.90858749838894,0.505996879639267,-1.68083558737767,4,1,1,4,"Medium","Moderate"
"316","Briarcliffe Acres, SC","SC","Southeast",33.7899839,-78.7489968,37.1008856666667,-0.182,-0.12,-1.13746297101783,-1.31198471741317,-0.670606335468915,1.72020937184676,-1.64291371323444,1,1,1,1,"Low","Low"
"317","Brices Creek, NC","NC","Southeast",35.0369569,-77.081921,73.6807955882353,-0.182,-0.12,-0.0692196644199053,-0.375021412145787,-0.695940469309054,0.542039591533,0.161111782591084,1,1,1,1,"Low","Low"
"318","Brick, NJ","NJ","Northeast",40.0617726,-74.1095574,244.925043541667,-0.028,-0.118,-0.393003945350675,-0.55531343910195,-0.578804115579969,-0.115376731642048,-0.324917475125,3,1,1,3,"Low","Moderate"
"319","Bridge City, LA","LA","Southeast",29.9407711,-90.1565657,103.90032,-0.132,-0.113,1.47215334834594,1.0472178484826,1.64988599651823,-0.186424403185745,1.03986091959131,1,4,1,4,"Medium","Moderate"
"320","Bridge City, TX","TX","Southeast",30.030833,-93.8384012,135.732529642857,-0.178,-0.119,-0.631056469487169,-0.690635546262285,-0.551897172780484,-0.342346428965923,0.547795721560984,2,1,1,2,"Low","Low"
"321","Bridgehampton, NY","NY","Northeast",40.9507018,-72.3133339,258.314333529412,-0.182,-0.12,-0.784581055262437,-0.472336410564908,-1.06257923613186,0.884158227274081,-0.788153324862367,3,1,1,3,"Low","Moderate"
"322","Bridgeport, CT","CT","Northeast",41.1873933,-73.1957567,273.968795277778,-0.182,-0.12,1.57714746280461,1.83008701009164,1.20406644116404,-0.735459799416056,0.147686995035086,4,3,1,12,"High","High"
"323","Bridgeton, NC","NC","Southeast",35.1278414,-77.012512,75.7499383333333,-0.182,-0.12,0.490729985490093,-0.796453499674907,0.447912833195054,0.398160202932874,0.574962711018585,1,2,1,2,"Low","Low"
"324","Bridgeton, NJ","NJ","Northeast",39.4275181,-75.2279544,242.717819,-0.182,-0.12,2.36595110728564,2.3032600966489,2.31685744698324,0.0743879188723488,0.306363148477308,3,4,1,12,"High","High"
"325","Bridgewater, MA","MA","Northeast",41.9882562,-70.970217,268.4416008,-0.175,-0.119,0.0746060973710665,-0.480149829038466,0.109706739266243,-0.699951851090693,0.111680533414832,3,1,1,3,"Low","Moderate"
"326","Bridgton, ME","ME","Northeast",44.0764639,-70.7154689,299.96022,-0.182,-0.12,-0.494794090260759,-1.0519622447174,-0.619957319363228,0.163241264076424,0.77379270641606,4,1,1,4,"Medium","Moderate"
"327","Brielle, NJ","NJ","Northeast",40.1053748,-74.063421,246.163462,0.034,-0.083,-1.11211727817023,-1.04574508623794,-1.13282507665622,-0.410792059429918,-1.7197451116478,3,1,1,3,"Low","Moderate"
"328","Brier, WA","WA","West Coast",47.7924019,-122.2735839,132.053525,-0.182,-0.12,-0.941624846683635,-0.656284881110268,-0.755788043325837,-1.16892327353593,-0.929010238464337,2,1,1,2,"Low","Low"
"329","Brigantine, NJ","NJ","Northeast",39.4272906,-74.389617,230.746021206897,-0.01,-0.105,-0.303308560837497,-0.473697255954037,-0.265643618350318,0.196216764227394,-0.211257685005828,2,1,1,2,"Low","Low"
"330","Brightwaters, NY","NY","Northeast",40.7164346,-73.2615138,265.737677833333,-0.182,-0.12,-0.911597897835318,-0.714210988612342,-1.18779802548886,-0.981960419843445,-1.38217628440537,3,1,1,3,"Low","Moderate"
"331","Brinnon, WA","WA","West Coast",47.6686138,-122.9166,133.141219047619,-0.182,-0.12,-0.0219729301395377,-0.881774222812787,0.522278811745011,3.27138392669376,1.66291981468448,2,3,1,6,"Medium-high","Moderate"
"332","Briny Breezes, FL","FL","Southeast",26.5089022,-80.0522463,96.2470407222222,-0.182,-0.12,-0.792410017359819,-1.34740178699033,0.430601049462446,4.33206585514306,2.52890454175146,1,4,1,4,"Medium","Moderate"
"333","Brisbane, CA","CA","West Coast",37.6757495,-122.383302,276.090342777778,-0.182,-0.12,-0.799052544245584,0.413670233217782,-0.879203755644886,-1.29472437541708,-0.850917728129117,4,1,1,4,"Medium","Moderate"
"334","Bristol, RI","RI","Northeast",41.6757303,-71.273331,236.946216363636,-0.098,-0.116,-0.43131463972131,-0.665655070371856,-0.433106119883738,-0.166086358302745,0.027332776921955,2,1,1,2,"Low","Low"
"335","Bristol/New Harbor/Pemaquid, ME","ME","Northeast",43.8920868,-69.473191,352.676953333333,0.604,0.181,-0.928471332887387,-1.01811108079429,-0.334700519059243,1.11483078076076,0.575605093416911,4,1,2,8,"High","High"
"336","Broad Creek, NC","NC","Southeast",34.7341102,-76.9190254,84.7536815384615,-0.182,-0.12,0.973312667638645,-0.966419811187018,1.34864748252078,-0.550255771645294,0.829402328139635,1,2,1,2,"Low","Low"
"337","Broadmoor, CA","CA","West Coast",37.691422,-122.4811397,274.133989513889,-0.182,-0.12,-0.604001942802506,1.67513963833796,-0.935139802333135,-1.01155907516386,-0.983417102936547,4,1,1,4,"Medium","Moderate"
"338","Broadview Park, FL","FL","Southeast",26.0987499,-80.2084697,101.8286602,-0.182,-0.12,1.20949733042186,2.40414038274085,1.48806839236976,-1.17927521363029,0.62701595730216,1,3,1,3,"Low","Moderate"
"339","Brockton, MA","MA","Northeast",42.082543,-71.0246378,270.413022727273,-0.182,-0.12,0.98125065449608,1.49744204710941,0.954848895165853,-0.572377038821898,0.0679594537028133,3,3,1,9,"High","High"
"340","Bronson, FL","FL","Southeast",29.4491093,-82.6384744,144.862190512821,-0.182,-0.12,0.885850962078153,0.00354754513356748,0.856419669346935,1.94353488040988,1.65641472726535,2,4,1,8,"High","High"
"341","Bronx/City Island, NY","NY","Northeast",40.8487111,-73.852939,267.822399642857,0.674,-0.119,2.18646951274487,2.40345585683527,2.29450805700109,-0.104786680374564,0.236676948864367,3,4,2,24,"High","High"
"342","Bronxville, NY","NY","Northeast",40.9394437,-73.8264463,275.071909642857,-0.132,-0.113,-0.829958053796319,-0.64811339171596,-0.955500830456487,-0.0278517996734026,-2.54615590551238,4,1,1,4,"Medium","Moderate"
"343","Brookdale, CA","CA","West Coast",37.1057325,-122.1106268,284.355267986111,-0.182,-0.12,-0.445197126134678,-0.597554526978628,-0.0874776249639585,-1.63866734111117,-0.444123849097775,4,1,1,4,"Medium","Moderate"
"344","Brookhaven, NY","NY","Northeast",40.7766706,-72.9078329,269.10522234375,-0.182,-0.12,0.266664552696812,-0.51210771362681,-0.246469122810022,0.100348065799046,-1.22935224020488,3,1,1,3,"Low","Moderate"
"345","Brookhaven, PA","PA","Northeast",39.8710957,-75.3912534,254.410605,-0.182,-0.12,-0.368830081845271,-0.579785298783358,-0.709346637562588,-0.569297152949851,-0.158786765189969,3,1,1,3,"Low","Moderate"
"346","Brookings, OR","OR","West Coast",42.0689004,-124.2999485,206.230981333333,1.769,0.208,-0.651761963668991,-0.712693463127243,-0.215321356946284,1.15915226602169,0.425309528755902,2,2,3,12,"High","High"
"347","Brooklawn, NJ","NJ","Northeast",39.8793503,-75.1203958,246.870313,-0.182,-0.12,0.783754740848338,0.00834706469311405,0.884602463786336,-0.833514728132636,-0.0100017790837218,3,2,1,6,"Medium-high","Moderate"
"348","Brooklin, ME","ME","Northeast",44.2583531,-68.5463234,341.59389,-0.142,-0.071,-0.51160243121001,-1.06702172056308,-0.710324120913813,0.862241162992767,0.524477225227925,4,1,1,4,"Medium","Moderate"
"349","Brookline, MA","MA","Northeast",42.3238534,-71.1420033,273.520234666667,-0.182,-0.12,-0.649372312470283,0.0410572451890469,-0.514674411435078,-1.00840982724182,-1.04113938640709,4,1,1,4,"Medium","Moderate"
"350","Brooklyn/Sheepshead Bay, NY","NY","Northeast",40.6350451,-73.9506398,262.972982058824,0.621,-0.119,1.02766652914159,1.6864703227001,1.42134732364322,-0.52531900467904,-0.0492363377491135,3,3,2,18,"High","High"
"351","Brookridge, FL","FL","Southeast",28.5480686,-82.4899579,140.289755,-0.182,-0.12,-0.406786967198264,-0.706311106944781,-0.549751615161974,2.83757420945174,2.40985879491512,2,3,1,6,"Medium-high","Moderate"
"352","Brooks, ME","ME","Northeast",44.5375694,-69.1217595,287.24968,-0.182,-0.12,0.278918466588175,-1.08079030898981,1.26146932877592,0.413642645595056,1.29989727514246,4,2,1,8,"High","High"
"353","Brookside, DE","DE","Northeast",39.6666347,-75.7152608,326.577348,-0.182,-0.12,0.0207417127108645,0.220117109983558,-0.246613456344742,-0.502667215467817,0.01814365781759,4,1,1,4,"Medium","Moderate"
"354","Brooksville, FL","FL","Southeast",28.5165785,-82.4046645,140.8863275,-0.123,-0.113,0.693453342346735,-0.310806208862228,0.631739255194632,1.59102096134241,1.43812546312,2,3,1,6,"Medium-high","Moderate"
"355","Brooksville, ME","ME","Northeast",44.3500242,-68.7664772,317.747229565217,-0.148,-0.077,-0.921095266074389,-1.25499164826618,-0.822967520498293,0.812161164112543,0.552614147945886,4,1,1,4,"Medium","Moderate"
"356","Brooktrails, CA","CA","West Coast",39.4432827,-123.3938002,194.557077647059,-0.182,-0.12,0.475420878547982,-0.316750788832139,-0.0692635308200906,-0.787534678958034,0.260635550697199,2,1,1,2,"Low","Low"
"357","Brookville, NY","NY","Northeast",40.8079116,-73.570122,264.792979782609,-0.182,-0.12,-1.22235352358912,-0.650199881290978,-1.14479674585415,0.124621757173799,-3.62560075123497,3,1,1,3,"Low","Moderate"
"358","Broomall, PA","PA","Northeast",39.9694659,-75.3529256,254.410605,-0.182,-0.12,-0.869422977391891,-0.334383692194819,-0.790319831518203,-0.079859271410726,-0.548814348130548,3,1,1,3,"Low","Moderate"
"359","Broussard, LA","LA","Southeast",30.1374443,-91.9558304,126.099675555556,0.02,-0.103,-0.259636461787703,-0.348522411357858,-0.14530063132659,-1.13595507495428,0.59967780221166,1,1,1,1,"Low","Low"
"360","Browns Mills, NJ","NJ","Northeast",39.9730917,-74.5696715,247.276806,-0.182,-0.12,0.793659580474684,0.110979164854148,0.131251893824999,-0.61095862552443,0.314738138445311,3,2,1,6,"Medium-high","Moderate"
"361","Brownsville, FL","FL","Southeast",25.8216103,-80.2417584,104.475798571429,-0.182,-0.12,3.21269639525957,2.04065781040152,3.1827219874458,0.819072499497807,1.06020876631751,1,4,1,4,"Medium","Moderate"
"362","Brownsville, TX","TX","Southeast",25.9991334,-97.4550173,83.9864027272727,3.394,-0.1,1.93557389239774,2.45811380586421,2.25856910530081,0.200213494077151,0.935611364454727,1,4,4,16,"High","High"
"363","Brownville, NJ","NJ","Northeast",40.3993613,-74.2955498,256.424037692308,-0.182,-0.12,-0.766200352614301,0.157464800945066,-0.897468986890614,-1.08665072952384,-0.561433159963711,3,1,1,3,"Low","Moderate"
"364","Brunswick, GA","GA","Southeast",31.1361491,-81.4669356,54.2466704545455,0.842,-0.063,2.02420643992028,0.891895842946672,1.94453955479406,0.111485529528197,0.891175956677615,1,4,2,8,"High","High"
"365","Brunswick, ME","ME","Northeast",43.885835,-69.9862661,338.256227368421,0.168,-0.1,-0.473392207747534,-0.849820431169656,-0.338066532713269,0.139531746922831,0.75007956245218,4,1,2,8,"High","High"
"366","Bryant, WA","WA","West Coast",48.2473071,-122.17698,136.574852333333,-0.182,-0.12,-1.06261204062006,-1.04619923989241,-0.727998483813011,-0.156990926014116,-0.459504287675986,2,1,1,2,"Low","Low"
"367","Bryn Mawr-Skyway, WA","WA","West Coast",47.4939805,-122.2442584,146.7251,-0.182,-0.12,0.218992003459003,1.51041604506358,0.358877300431176,-0.260929722525309,-0.0102443357947856,2,2,1,4,"Medium","Moderate"
"368","Buchanan, NY","NY","Northeast",41.2612954,-73.9480759,305.668902142857,-0.182,-0.12,-0.826378379224656,-0.164431837547431,-0.723170977319864,-0.650155957900168,-0.576211818838826,4,1,1,4,"Medium","Moderate"
"369","Buckingham, FL","FL","Southeast",26.6454235,-81.7473568,118.275230333333,-0.182,-0.12,-0.537242655294093,-1.15856179530091,-0.46411528239644,-0.170539852699833,0.353108759679412,1,1,1,1,"Low","Low"
"370","Buckland, AK","AK","Alaska",65.9764942,-161.1388036,365.07068,-0.175,-0.11,2.37796984580895,1.16532734278217,2.30162539641445,0.248769488561716,1.19409302574535,4,4,1,16,"High","High"
"371","Bucksport, ME","ME","Northeast",44.5884395,-68.798643,282.431666666667,-0.179,-0.118,0.0152009300776293,-0.668108408895845,1.77008638425302,0.288496186709875,0.893049443134368,4,2,1,8,"High","High"
"372","Bucksport, SC","SC","Southeast",33.6684858,-79.110806,31.5577547368421,-0.182,-0.12,2.42721051300633,0.832803895636744,2.77366862299174,1.13616796189205,1.44719144647853,1,4,1,4,"Medium","Moderate"
"373","Buellton, CA","CA","West Coast",34.6154975,-120.1942368,281.954018448276,-0.182,-0.12,-0.822609512147632,0.187585309307723,-0.910452659443046,-0.666094213222995,0.306673307160966,4,1,1,4,"Medium","Moderate"
"374","Buena Park, CA","CA","West Coast",33.8573527,-118.0073733,281.084087045455,-0.182,-0.12,-0.0373210116999586,1.93721748133036,0.286566198039404,-0.380592261574938,-0.315684378607328,4,2,1,8,"High","High"
"375","Buena, NJ","NJ","Northeast",39.5291701,-74.9452046,240.639355,-0.182,-0.12,1.20080277229465,0.285574896224033,-0.225918204901071,0.49377641666095,0.326619154530355,2,2,1,4,"Medium","Moderate"
"376","Bunk Foss, WA","WA","West Coast",47.9616863,-122.0943874,126.5535375,-0.182,-0.12,-0.555177846525803,-0.706032279201959,-0.536365869167743,-0.971453458829682,-0.551986081469225,1,1,1,1,"Low","Low"
"377","Bunker Hill Village, TX","TX","Southeast",29.7647514,-95.5317812,113.109186666667,-0.182,-0.12,-1.64327876362388,-0.351987687368939,-0.957019075607819,0.852921704769973,-3.88969753383891,1,1,1,1,"Low","Low"
"378","Bunker Hill, OR","OR","West Coast",43.3467309,-124.2109892,213.110276333333,-0.182,-0.12,2.18432646770706,0.388613058545535,3.07346047406874,1.12206336928866,1.3010232837083,2,4,1,8,"High","High"
"379","Bunnell, FL","FL","Southeast",29.4187338,-81.3194778,69.434605,-0.132,-0.104,0.540565726114763,-0.423617679279104,0.933702451984137,1.28416804864356,1.32656456676025,1,3,1,3,"Low","Moderate"
"380","Buras, LA","LA","Southeast",29.3536633,-89.5239727,120.423955135135,0.721,0.877,-0.629644149878251,-0.031994648501934,-0.68664416791741,-0.892469296834464,1.85392385656264,1,1,3,3,"Low","Moderate"
"381","Burbank CDP, CA","CA","West Coast",37.3210726,-121.9304571,271.68122622807,-0.182,-0.12,0.157151526794144,1.36011113639156,-0.098591156891451,-1.56439437686973,-0.0910831401022518,3,1,1,3,"Low","Moderate"
"382","Burbank city, CA","CA","West Coast",34.1900793,-118.3264045,285.6451759375,-0.182,-0.12,-0.0902863462724395,0.793665115478001,-0.0822094024072288,-0.730265332594182,-0.306928875864797,4,1,1,4,"Medium","Moderate"
"383","Burgaw, NC","NC","Southeast",34.5531098,-77.9162824,49.0249647058824,-0.132,-0.109,1.51659076411694,0.164121755984939,1.08609484124261,1.28245015124171,0.979481648594478,1,4,1,4,"Medium","Moderate"
"384","Burien, WA","WA","West Coast",47.4756601,-122.3405067,146.7251,-0.182,-0.12,0.257194314258095,0.719218332129243,0.532152332246158,-0.70655581544059,0.162784763503969,2,2,1,4,"Medium","Moderate"
"385","Burley, WA","WA","West Coast",47.4159569,-122.6447053,132.053525,-0.182,-0.12,0.459979745673425,-0.722818993179346,0.599932937766408,-0.948787066479821,0.348089619264107,2,1,1,2,"Low","Low"
"386","Burlingame, CA","CA","West Coast",37.5899515,-122.3633425,278.351916956522,-0.182,-0.12,-0.934071254493237,0.502945814748555,-0.56008045956381,-1.066201160857,-1.28430904035696,4,1,1,4,"Medium","Moderate"
"387","Burlington, NJ","NJ","Northeast",40.0783164,-74.8532279,252.997527142857,-0.182,-0.12,0.331966094801887,0.191631704478995,-0.207201495275127,-0.342310539962942,0.0898210880798329,3,2,1,6,"Medium-high","Moderate"
"388","Burlington, WA","WA","West Coast",48.466358,-122.3290373,138.576613571429,-0.178,-0.119,0.511574153432699,0.181422574333959,0.69624640680077,-0.157288682955769,0.543010295535701,2,2,1,4,"Medium","Moderate"
"389","Burnt Store Marina, FL","FL","Southeast",26.7670901,-82.0514154,120.617985454545,-0.182,-0.12,-1.19829264449304,-1.44767941005976,-0.945237077442567,4.53529014631036,0.104538904082282,1,2,1,2,"Low","Low"
"390","Burrillville, RI","RI","Northeast",41.9702909,-71.6986597,197.683722222222,-0.182,-0.12,0.277592078255239,-0.650021263936371,-0.215352479359921,-0.676214954481422,0.256625148215374,2,1,1,2,"Low","Low"
"391","Burton, SC","SC","Southeast",32.424668,-80.740673,42.6580264705882,-0.182,-0.12,1.79278172676765,0.0499396485676403,0.107475300118763,-0.233491667907279,1.20298304114582,1,3,1,3,"Low","Moderate"
"392","Butler Beach, FL","FL","Southeast",29.8004661,-81.2688407,68.6698041666667,-0.182,-0.12,-0.869345157491024,-1.17081416344445,-0.515699708540098,2.11910256701652,0.459820406731217,1,2,1,2,"Low","Low"
"393","Buxton, ME","ME","Northeast",43.6362599,-70.5388421,319.662389333333,-0.182,-0.12,-0.254397283015195,-0.862916058745782,-0.437780719345693,-1.53749558344512,0.420992351310922,4,1,1,4,"Medium","Moderate"
"394","Buzzards Bay, MA","MA","Northeast",41.7541942,-70.6163166,269.754388611111,-0.12,-0.104,-0.551296686820554,-0.885370989141639,-0.209596424924464,-0.820549076431767,-0.209954807409932,3,1,1,3,"Low","Moderate"
"395","Byron, CA","CA","West Coast",37.8755195,-121.6418245,238.38247,-0.182,-0.12,-0.438806261514731,0.468302467766335,-0.808048481499388,-0.0376126717937141,0.0348714860960094,2,1,1,2,"Low","Low"
"396","Cabana Colony, FL","FL","Southeast",26.8554714,-80.0866106,92.8540569135803,-0.182,-0.12,0.131597833415519,0.182513659873565,0.052306976422508,-1.03584646950635,0.0905342621499724,1,1,1,1,"Low","Low"
"397","Cade, LA","LA","Southeast",30.0925651,-91.8996343,128.137710909091,-0.182,-0.12,2.0459132719486,0.0909557138401444,0.284616077502847,-1.84304203933229,1.52330204314062,2,2,1,4,"Medium","Moderate"
"398","Calabasas, CA","CA","West Coast",34.134015,-118.669128,285.89582826087,-0.182,-0.12,-0.935186734064869,0.0459256890658435,-0.690161301794727,-0.487007872414253,-2.00279505444158,4,1,1,4,"Medium","Moderate"
"399","Calabash, NC","NC","Southeast",33.8951183,-78.5565046,36.4556752777778,0.224,0.077,0.776339851810732,-0.231951026004311,1.38546157226276,0.989633804497973,1.57557995714009,1,3,2,6,"Medium-high","Moderate"
"400","Calais, ME","ME","Northeast",45.142952,-67.2175239,344.188804,-0.126,-0.105,0.0718023362673469,-0.726606932450216,1.28339327157597,0.700039229949598,0.964660716192787,4,2,1,8,"High","High"
"401","Caldwell, NJ","NJ","Northeast",40.8392346,-74.2770264,277.618966875,-0.182,-0.12,-0.459021764623811,-0.369278891066109,-0.758178944964124,-0.651092752340497,-0.453247378106709,4,1,1,4,"Medium","Moderate"
"402","Calistoga, CA","CA","West Coast",38.5814083,-122.5826961,252.831813333333,-0.182,-0.12,-0.263691857023461,1.19074150680233,-0.60440414916017,0.223974838774089,0.355893700202568,3,2,1,6,"Medium-high","Moderate"
"403","Callahan, FL","FL","Southeast",30.5618313,-81.832011,61.9599116666667,-0.016,0.003,1.43384305455415,0.175108781179991,1.9543326500437,-0.129480449310523,1.06500893093507,1,3,1,3,"Low","Moderate"
"404","Callaway, FL","FL","Southeast",30.1271063,-85.5509267,128.594449347826,-0.182,-0.12,0.15731712215411,-0.0494802796380263,0.286138797089837,-0.295679987138364,0.896048469633006,2,2,1,4,"Medium","Moderate"
"405","Callender, CA","CA","West Coast",35.0479724,-120.5759074,292.670317115385,-0.182,-0.12,0.565688457360769,0.344173599156404,-0.801019424916549,0.422353014390545,-0.933918681101739,4,1,1,4,"Medium","Moderate"
"406","Calpella, CA","CA","West Coast",39.2337206,-123.1937598,207.409102333333,-0.182,-0.12,0.74745621786284,0.511617694066099,1.21893204752944,0.0147587062399633,0.23304594145996,2,3,1,6,"Medium-high","Moderate"
"407","Calverton, NY","NY","Northeast",40.9229293,-72.7685488,265.512303928571,-0.182,-0.12,-0.389431204594713,-0.588865125417722,-0.541935138300656,1.42274679396195,0.304387470223602,3,2,1,6,"Medium-high","Moderate"
